seed,run_dir,method,group,n,acc,macro_f1,lambda_align
8,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210755,Concat,Low-D,1522.0,0.5492772667542707,0.4668384643418408,
8,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210755,Concat,Mid-D,1625.0,0.5987692307692307,0.5851506906953009,
8,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210755,Concat,High-D,1496.0,0.6744652406417112,0.6613542947306644,
8,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210755,Concat,Overall,4643.0,0.6069351712255008,0.6057401238443149,
8,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210755,UncondAlign,Low-D,1522.0,0.5630749014454665,0.4969598639826431,0.01
8,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210755,UncondAlign,Mid-D,1625.0,0.6012307692307692,0.5866861290461395,0.01
8,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210755,UncondAlign,High-D,1496.0,0.6671122994652406,0.6528774760704783,0.01
8,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210755,UncondAlign,Overall,4643.0,0.609950463062675,0.608221180142813,0.01
9,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211024,Concat,Low-D,1428.0,0.5609243697478992,0.5375857852258021,
9,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211024,Concat,Mid-D,1692.0,0.5957446808510638,0.5842909567054857,
9,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211024,Concat,High-D,1523.0,0.6789231779382797,0.6718910620060671,
9,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211024,Concat,Overall,4643.0,0.6123196209347405,0.6138020262858679,
9,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211024,UncondAlign,Low-D,1428.0,0.542016806722689,0.488683771576105,0.01
9,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211024,UncondAlign,Mid-D,1692.0,0.6040189125295509,0.58437910615248,0.01
9,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211024,UncondAlign,High-D,1523.0,0.6756401838476691,0.6710231088277054,0.01
9,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211024,UncondAlign,Overall,4643.0,0.6084428171440879,0.6077316418522364,0.01
10,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211255,Concat,Low-D,1450.0,0.5420689655172414,0.4676685853428237,
10,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211255,Concat,Mid-D,1696.0,0.5972877358490566,0.5839166902879888,
10,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211255,Concat,High-D,1497.0,0.6953907815631263,0.6767222095717575,
10,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211255,Concat,Overall,4643.0,0.6116734869696318,0.6113460968073169,
10,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211255,UncondAlign,Low-D,1450.0,0.5503448275862068,0.4857235866093634,0.01
10,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211255,UncondAlign,Mid-D,1696.0,0.5966981132075472,0.5828573117603084,0.01
10,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211255,UncondAlign,High-D,1497.0,0.6940547762191048,0.6790074314174451,0.01
10,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211255,UncondAlign,Overall,4643.0,0.613611888864958,0.6135572054371825,0.01
