seed,run_dir,lambda_align,group,n,concat_acc,align_acc,delta_acc,concat_macro_f1,align_macro_f1,delta_macro_f1,valid_macro_f1,valid_acc
9,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211024,0.5,High-D+Low-R,761.0,0.6202365308804205,0.5755584756898817,-0.0446780551905388,0.6029544824862045,0.5679104793898927,-0.0350440030963118,0.5746770511838081,0.5815944355270198
9,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211024,0.5,High-D+High-R,762.0,0.7375328083989501,0.7217847769028871,-0.0157480314960629,0.7332869837369133,0.7101123294163942,-0.023174654320519,0.5746770511838081,0.5815944355270198
10,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211255,0.01,High-D+Low-R,748.0,0.6403743315508021,0.6363636363636364,-0.0040106951871657,0.6293205223275147,0.6276211010765657,-0.001699421250949,0.6154090850558697,0.6243980738362761
10,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211255,0.01,High-D+High-R,749.0,0.7503337783711616,0.7516688918558078,0.0013351134846462,0.7169901346690898,0.7214806865065685,0.0044905518374787,0.6154090850558697,0.6243980738362761
10,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211255,0.05,High-D+Low-R,748.0,0.6403743315508021,0.6457219251336899,0.0053475935828877,0.6293205223275147,0.6366661995054671,0.0073456771779524,0.6084975122372672,0.6185125735687533
10,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211255,0.05,High-D+High-R,749.0,0.7503337783711616,0.7556742323097463,0.0053404539385847,0.7169901346690898,0.7207352130717787,0.0037450784026888,0.6084975122372672,0.6185125735687533
10,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211255,0.1,High-D+Low-R,748.0,0.6403743315508021,0.6417112299465241,0.0013368983957219,0.6293205223275147,0.6236369999988746,-0.0056835223286401,0.6110233398206356,0.6163723916532905
10,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211255,0.1,High-D+High-R,749.0,0.7503337783711616,0.753004005340454,0.0026702269692924,0.7169901346690898,0.7168203965550761,-0.0001697381140136,0.6110233398206356,0.6163723916532905
10,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211255,0.5,High-D+Low-R,748.0,0.6403743315508021,0.6243315508021391,-0.016042780748663,0.6293205223275147,0.6021621093475223,-0.0271584129799923,0.5878083410081673,0.5906902086677368
10,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211255,0.5,High-D+High-R,749.0,0.7503337783711616,0.7409879839786382,-0.0093457943925233,0.7169901346690898,0.6968006329303463,-0.0201895017387434,0.5878083410081673,0.5906902086677368
